graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
unit_disk,84,100,967,0.195354,False,0.680521,0.015222,0.195354,2.491717,2.173482,0.494117
grid_2d,84,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,84,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,85,100,3443,0.695556,True,0.695664,0.003107,0.695556,1.304444,0.834323,0.047915
dense_random,85,100,4438,0.896566,True,0.896403,0.001055,0.896566,1.103434,0.93018,0.015555
powerlaw,85,100,291,0.058788,False,0.170121,0.016621,0.058788,2.628889,2.878128,0.344127
powerlaw,85,100,475,0.09596,False,0.191257,0.012517,0.09596,2.226667,1.830994,0.257879
complete,85,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,85,100,535,0.108081,False,0.674722,0.02779,0.108081,3.723434,3.257505,0.65775
unit_disk,85,100,1055,0.213131,False,0.711641,0.014471,0.213131,2.418182,2.085326,0.524379
grid_2d,85,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,85,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,86,100,3464,0.699798,True,0.701082,0.003063,0.699798,1.300202,0.837248,0.045612
dense_random,86,100,4474,0.903838,True,0.903965,0.000981,0.903838,1.096162,0.934969,0.016951
powerlaw,86,100,291,0.058788,False,0.148649,0.016188,0.058788,2.586465,2.556117,0.343749
powerlaw,86,100,475,0.09596,False,0.206054,0.01255,0.09596,2.229899,1.969794,0.265006
complete,86,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,86,100,532,0.107475,False,0.666968,0.026512,0.107475,3.598182,3.358919,0.649143
unit_disk,86,100,1112,0.224646,False,0.708361,0.013787,0.224646,2.351111,1.991135,0.486967
grid_2d,86,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,86,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,87,100,3454,0.697778,True,0.696457,0.003084,0.697778,1.302222,0.833407,0.044675
dense_random,87,100,4466,0.902222,True,0.902289,0.000998,0.902222,1.097778,0.933903,0.015844
powerlaw,87,100,291,0.058788,False,0.155318,0.016417,0.058788,2.608889,2.647837,0.339214
powerlaw,87,100,475,0.09596,False,0.188255,0.012533,0.09596,2.228283,1.800948,0.255052
complete,87,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,87,100,512,0.103434,False,0.619059,0.027978,0.103434,3.741818,3.166389,0.610573
unit_disk,87,100,1091,0.220404,False,0.692425,0.014249,0.220404,2.396364,1.95838,0.481688
grid_2d,87,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,87,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,88,100,3470,0.70101,True,0.701017,0.003051,0.70101,1.29899,0.836161,0.041653
dense_random,88,100,4451,0.899192,True,0.899822,0.001029,0.899192,1.100808,0.932614,0.018456
powerlaw,88,100,291,0.058788,False,0.109637,0.016737,0.058788,2.640202,1.846897,0.344652
powerlaw,88,100,475,0.09596,False,0.180247,0.012637,0.09596,2.238384,1.71656,0.257975
complete,88,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,88,100,564,0.113939,False,0.691142,0.028495,0.113939,3.792525,3.039848,0.612186
unit_disk,88,100,1132,0.228687,False,0.726079,0.01442,0.228687,2.413131,1.942192,0.499176
grid_2d,88,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
